                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                0.64716,                0.51794,                0.59444,                0.44119,                 1.0961,                 1.1488,                 1.1362,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4379,                 1.2672,                0.65626,                0.54994,                0.62077,                0.46093,                 1.0834,                  1.098,                 1.1275,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1855,                 1.3194,                 1.2364,                0.65772,                0.58105,                0.63763,                0.47412,                 1.0675,                 1.0692,                 1.1165,             2.6828e-05,             2.6828e-05,             2.6828e-05
